Date,Open,High,Low,Close,Adj Close,Volume
2020-08-27,20.760000,21.350000,20.700001,21.040001,20.981567,35413500
2020-08-28,21.240000,21.580000,21.110001,21.469999,21.410372,36357200
2020-08-31,21.299999,21.389999,20.740000,20.740000,20.682400,47410500
2020-09-01,21.049999,21.320000,20.969999,21.160000,21.101234,41339100
2020-09-02,21.290001,21.320000,20.910000,21.120001,21.080248,27886000
2020-09-03,21.059999,22.290001,21.049999,21.950001,21.908686,106770900
2020-09-04,22.290001,22.440001,21.780001,21.969999,21.928648,47532900
2020-09-08,21.670000,21.830000,21.500000,21.620001,21.579308,27961300
2020-09-09,21.799999,21.990000,21.430000,21.559999,21.519419,29537200
2020-09-10,21.520000,21.660000,20.809999,20.850000,20.810757,46551900
2020-09-11,20.900000,20.950001,20.330000,20.459999,20.421490,39073100
2020-09-14,20.660000,20.780001,20.219999,20.700001,20.661039,56766600
2020-09-15,20.750000,20.770000,20.290001,20.480000,20.441452,37427100
2020-09-16,20.480000,20.860001,20.400000,20.520000,20.481377,35535700
2020-09-17,20.270000,20.670000,20.240000,20.570000,20.531284,25503400
2020-09-18,20.469999,20.510000,20.040001,20.080000,20.042204,62911700
2020-09-21,19.700001,19.879999,19.500000,19.780001,19.742769,47795400
2020-09-22,19.820000,20.139999,19.680000,19.900000,19.862543,25154400
2020-09-23,19.750000,19.889999,19.400000,19.430000,19.393429,26663100
2020-09-24,19.440001,19.969999,19.389999,19.799999,19.762732,34170000
2020-09-25,19.690001,19.780001,19.469999,19.780001,19.742769,17282200
2020-09-28,20.049999,20.600000,19.600000,19.719999,19.682882,68892900
2020-09-29,19.750000,19.780001,19.190001,19.250000,19.213766,46244900
2020-09-30,19.350000,19.590000,19.260000,19.410000,19.373466,32382400
2020-10-01,19.450001,19.580000,19.219999,19.500000,19.463297,24206700
2020-10-02,19.410000,20.350000,19.340000,19.639999,19.622126,51999100
2020-10-05,19.719999,20.070000,19.360001,19.920000,19.901873,34647300
2020-10-06,20.150000,20.360001,19.719999,19.850000,19.831936,30543800
2020-10-07,19.980000,20.020000,19.580000,19.639999,19.622126,29576000
2020-10-08,19.660000,20.770000,19.600000,20.650000,20.631207,65721600
2020-10-09,20.459999,21.139999,20.209999,20.740000,20.721125,71799200
2020-10-13,20.830000,21.049999,20.620001,20.860001,20.841017,30116500
2020-10-14,20.930000,21.070000,20.820000,20.879999,20.860998,28680800
2020-10-15,20.570000,21.059999,20.480000,20.740000,20.721125,34040200
2020-10-16,20.650000,20.670000,20.400000,20.410000,20.391426,19326100
2020-10-19,20.490000,21.070000,20.309999,20.610001,20.591244,51858000
2020-10-20,20.799999,21.700001,20.799999,21.500000,21.480434,65001400
2020-10-21,21.500000,22.020000,21.240000,21.719999,21.700233,63156400
2020-10-22,21.700001,22.900000,21.700001,22.719999,22.699324,67294000
2020-10-23,22.799999,23.350000,22.440001,22.690001,22.669352,57375500
2020-10-26,22.490000,23.020000,22.430000,22.900000,22.879160,39380100
2020-10-27,23.389999,23.500000,22.120001,22.260000,22.239742,77752400
2020-10-28,21.809999,21.809999,20.959999,21.000000,20.980888,66818600
2020-10-29,20.799999,20.900000,19.969999,20.790001,20.771082,98321900
2020-10-30,20.450001,20.709999,19.930000,20.160000,20.141653,57311600
2020-11-03,20.540001,21.020000,20.330000,20.850000,20.831026,57951300
2020-11-04,21.200001,21.240000,20.290001,20.680000,20.680000,71735000
2020-11-05,21.049999,21.139999,20.530001,21.000000,21.000000,49510300
2020-11-06,20.750000,21.049999,20.700001,20.900000,20.900000,31018100
2020-11-09,22.150000,23.260000,21.860001,22.940001,22.940001,119615700
2020-11-10,23.020000,24.620001,23.020000,24.420000,24.420000,135808900
2020-11-11,24.360001,24.590000,23.620001,24.320000,24.320000,76246400
2020-11-12,24.299999,24.320000,23.209999,23.360001,23.360001,54954900
2020-11-13,23.610001,24.100000,23.330000,24.010000,24.010000,30707700
2020-11-16,24.690001,25.299999,24.610001,25.260000,25.260000,94785400
2020-11-17,25.000000,25.400000,24.719999,25.400000,25.400000,63360500
2020-11-18,25.309999,25.420000,24.620001,24.620001,24.620001,50655500
2020-11-19,24.629999,25.110001,24.540001,24.639999,24.639999,32924100
2020-11-23,24.670000,24.840000,24.370001,24.480000,24.480000,31307600
2020-11-24,24.719999,25.950001,24.709999,25.580000,25.580000,73876400
2020-11-25,25.520000,25.680000,24.980000,25.250000,25.250000,42328800
2020-11-26,25.129999,25.170000,24.700001,24.840000,24.840000,20818700
2020-11-27,25.040001,25.330000,24.790001,24.850000,24.850000,25181600
2020-11-30,24.530001,24.830000,24.230000,24.299999,24.299999,50861700
